"","site_location","site_name","planting_location_code","planting_relationships","year","historical_presence_source","planting_geometry","water_body","svmp_region","activity_type","activity_filter","planting_date","latitude","longitude","retain_drop","datum","elevation_m_MLLW","planting_method","parallel_length_m","perpendicular_length_m","plot_area_m2","planted_area_m2","effective_area_planted_m2","number_planting_units","number_shoots","plot_shoot_density_m2","planted_area_shoot_density_m2","donor_site_name","notes","subproj_code","group_no"
"31","Commencement Bay","Commencement Bay - PNNL - large - 2018","COM_L1","single",2018,NA,"line","Commencement Bay","CPS","large scale","large scale",2018-06-26,47.2763,-122.4636,"retain","WGS84",-2.4384,"rebar",19,10,190,108.25,10.825,"433",10825,56.9736842105263,100,"Dumas Bay","Planting occurred near 2 test plots so planting was irregular to not overlap with the test plots. See planting diagram","zos_rec_ps__USFWS__PNNL",26
"32","Commencement Bay","Commencement Bay - PNNL - large - 2018","COM_L1","single",2018,NA,"line","Commencement Bay","CPS","large scale","--",2018-06-26,47.27632,-122.46381,"retain","WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zos_rec_ps__USFWS__PNNL",26
"33","Commencement Bay","Commencement Bay - PNNL - large - 2019","COM_L2","single",2019,NA,"line","Commencement Bay","CPS","large scale","large scale",2019-06-09,47.27629,-122.46336,"retain","WGS84",-2.4,"rebar",27,10,270,164,16.4,"656",16400,60.7407407407407,100,"Dumas Bay","planted 5m on each side of baseline, 10m total width, starting @1m planted 4 rows 0.5m apart, skip 1.5m, repeat. Exceptions: 1 row planted inshore at 3m, offshore rows 8.5m-17.5m 2.5m long, 10m offshore row = 50shoots/rebar, 10.5m-11.5m offshore row = 35shoots/rebar. 300 extra shoots not included in total (column AD)","zos_rec_ps__USACE__PNNL",27
"34","Commencement Bay","Commencement Bay - PNNL - large - 2019","COM_L2","single",2019,NA,"line","Commencement Bay","CPS","large scale","--",2019-06-09,47.276295,-122.463595,"retain","WGS84",-2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zos_rec_ps__USACE__PNNL",27
"35","Delano Beach","Delano Beach - PNNL - test - 2015","DEL_1","initial",2015,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","point","Carr Inlet","CPS","test","test",2015-02-26,47.2549833333333,-122.737116666667,"retain","WGS84",-2.34696,"staple",5,5,25,25,0.625,"125",500,20,20,"Ketron Island","""mega""-bundles were planted with 260 shoots on 26 staples outside of the plot and just south","zos_rest_ps__DNR__PNNL",28
"36","Delano Beach","Delano W T1 - HC - test - 2016","DEL_L1","single",2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","line","Carr Inlet","CPS","test","test",2016-04-21,47.2580403527778,-122.739271322222,"retain","WGS84",-2,"burlap",25,5,125,75,9.75,"156",780,6.24,10.4,"Cutts Island","transect line that includes 3 test plots","zos_rest_ps__WDFW__Hart Crowser",29
"37","Delano Beach","Delano W T2 - HC - test - 2016","DEL_L1","single",2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","line","Carr Inlet","CPS","test","--",2016-04-21,47.2582796888889,-122.7380948,"retain","WGS84",-2,"burlap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zos_rest_ps__WDFW__Hart Crowser",29
"38","Delano Beach","Delano Beach - SE - HC - large - 2016","DEL_P1","single",2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","polygon","Carr Inlet","CPS","large scale","large scale",2016-06-14,47.257533,-122.738203833333,"retain","WGS84",-2,"burlap",35,6,210,50.4,78.75,"1260",20850,99.2857142857143,413.690476190476,"Cutts Island",NA,"zos_rest_ps__WDFW__Hart Crowser",30
"39","Delano Beach","Delano Beach - SW - HC - large - 2016","DEL_P1","single",2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","polygon","Carr Inlet","CPS","large scale","--",2016-06-14,47.2575368333333,-122.738138,"retain","WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zos_rest_ps__WDFW__Hart Crowser",30
"40","Delano Beach","Delano Beach - NE - HC - large - 2016","DEL_P1","single",2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","polygon","Carr Inlet","CPS","large scale","--",2016-06-14,47.2578418333333,-122.738172,"retain","WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zos_rest_ps__WDFW__Hart Crowser",30
"41","Delano Beach","Delano Beach - NW - HC - large - 2016","DEL_P1","single",2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","polygon","Carr Inlet","CPS","large scale","--",2016-06-14,47.2578388333333,-122.738237833333,"retain","WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zos_rest_ps__WDFW__Hart Crowser",30
"42","Delano Beach","Delano Beach East - north - HC - test - 2017","DEL_3","initial",2017,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","point","Carr Inlet","CPS","test","test",2017-07-17,47.24985,-122.72317,"retain","WGS84",-1.6,"turf",10,1,10,6,1.67,"167",1172,117.2,195.333333333333,"Cutts Island","Referred to as 'South Head 1' in final report. Turfs plant 5-15 shoots per staple (X= ~7 shoots/staple because donor site was Cutts Island with larger Zm than Rocky Bay). Estimated number of PUs at test-transplant site as 1172/7 = 167.","zos_rest_ps__WDFW__Hart Crowser",31
"43","Delano Beach","Delano Beach East - south - HC - test - 2017","DEL_2","single",2017,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","point","Carr Inlet","CPS","test","test",2017-07-17,47.24963,-122.72338,"retain","WGS84",-1.6,"turf",10,1,10,6,1.45,"145",1015,101.5,169.166666666667,"Cutts Island","Referred to as 'South Head 2' in final report. Turfs plant 5-15 shoots per staple (X= ~7 shoots/staple because donor site was Cutts Island with larger Zm than Rocky Bay). Estimated number of PUs at test-transplant site as 1015/7 = 145.","zos_rest_ps__WDFW__Hart Crowser",32
"44","Delano Beach","Delano Beach - PNNL - test - enhancement","DEL_1","repeat",2018,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","point","Carr Inlet","CPS","test","test",2018-06-28,47.2549833333333,-122.737116666667,"retain","WGS84",-2.34696,"rebar",5,0.5,2.5,2.75,0.275,"11",275,110,100,"DuPont Wharf","transplanted 4, 0.25 m2 patches. 3 patches had 3, 50 cm lengths of rebar each with 25 shoots while 1 patch had 2, 50 cm lengths of rebar each with 25 shoots.","dnr__DNR__unspecified",33
